staff_satisfaction,Average_room_rate
83,104.29
84,107.75
81,107.21
92,105.56
83,108.4
86,106.24
87,98.66
89,97.37
88,98.91
89,104.21
85,110.28
90,107.41
89,108.15
94,101.47
89,99.26
88,101.14
84,106.88
89,107.21
84,112.72
88,122.61
90,129.51
85,130.68
84,132.46
88,134.9
