Week, Sales,Weekday_Contract,Weekend_Contract,Conference_Weekday,Conference_Weekend,Groups_Weekday,Groups_Weekend,Weekday_Standard_Rooms,Weekend_Standard_Rooms,Weekday_Executive,Weekend_Executive,Weekday_Suites,Weekend_Suites,Events_Weekday,Events_Weekend,Meal_Weekday,Meal_Weekend,Liquor,Indicators,Staff_Turnover_annual_percent,Heads_of_Dept,Accommodation,Food_Bev,Reception,Conf_Banq,Other_Staff,Av._weekly_training_exp.,Market_Share_percent,Market_Image_index,Public_Awareness_index,Hotel_Quality,Relative_price,Ext._meal_sales,Ext._liquor_sales,Food_and_Bev._revenue,Revenue,WD_room_avail.,WE_room_avail.,WD_Trans._rev.,WE_Trans_rev.,Contract_rev.,Conf._rev.,Tours_rev.,WD_room._rev.,No_Shows,Exec_Rooms,Suites,WD_Exec_rev,WE_Exec_rev,WD_Suite_Rev,WE_Suite_Rev,Exec_in_Hotel,Suites_in_Hotel,actXavail,actSavail,Luxury_Level,Leisure_Club_Members,Total_rooms_sold,WD_Room_Occup.,WE_Room_Occup.,Guest_Occupancy_percent,WD_Guest_Occup.,WE_Guest_Occup.,Average_room_rate,Av._WD_Rate,Av._WE_Rate,REVPAR,External_meal_sales_percent,External_liquor_sales_percent,Rooms_Revenue,Room_Occupancy_percent,ADR_Contract,ADR_Conf,ADR_Tours,REVPAR_Weekday,REVPAR_Weekend,REVPAR_Contract,REVPAR_Conf,REVPAR_Tours,GOPAR
78,,0,0,112,68,72,75,316,232,0,0,0,0,92,84,392,284,1957,,85.25,0,236.36,0,0,0,0,9.82,10.06,189.73,44.14,31.05,82.11,338,207,63308,168869,125,875,43323,27535,0,15261,10076,58011,17,0,0,0,0,0,0,0,0,0,0,0.92,0,875,100,100,58.4,57.2,60,109.94,137.1,118.69,109.94,50,10.58,96195,100,0,84.78,68.54,86.65,73.43,0,17.44,11.52,0
79,,0,0,101,51,87,75,312,249,0,0,0,0,127,120,384,318,2078,,162.5,0,0,247.62,0,2600,0,9.36,11.64,165.09,43.86,31.08,76.76,351,220,70146,178330,125,875,41897,30915,0,13060,11093,56646,18,0,0,0,0,0,0,0,0,0,0,0.92,0,875,100,100,59.26,58.7,60,110.82,134.29,124.16,110.82,50,10.59,96965,100,0,85.92,68.48,83.79,82.44,0,14.93,12.68,0
80,,0,0,100,50,100,75,300,250,0,0,0,0,150,146,360,320,2114,,0,0,0,0,0,0,0,9.36,10.64,161.94,43.89,30.76,75.99,340,236,71387,182447,125,875,41412,31955,0,12941,11987,56977,24,0,0,0,0,0,0,0,0,0,0,0.92,0,875,100,100,60,60,60,112.34,138.04,127.82,112.34,50,11.16,98295,100,0,86.27,68.5,82.82,85.21,0,14.79,13.7,0
81,,0,0,81,48,95,75,324,252,0,0,0,0,167,163,408,324,2237,,0,0,0,0,0,0,0,9.36,11.61,154.98,43.38,30.9,75.54,366,245,74964,186962,125,875,42944,32615,0,11113,11653,56525,22,0,0,0,0,0,0,20,0,140,0,0.92,0,875,86.21,86.21,51.48,59.5,60,112.37,132.54,129.42,96.87,50,10.95,98325,86.21,0,86.15,68.55,85.89,86.97,0,10.95,11.48,0
82,,0,0,72,42,94,75,334,258,5,2,0,0,185,175,428,336,2333,,81.25,0,0,0,577.78,0,0,9.36,11.59,148.84,43.12,30.89,74.67,382,251,77704,193987,125,875,44677,33675,0,9897,11563,57452,13,0,0,1350,560,0,0,20,0,140,0,0.92,0,882,87.07,86.67,51.43,59.4,60,115.33,133.76,130.52,100.22,50,10.76,101722,86.9,0,86.82,68.42,89.35,89.8,0,9.75,11.39,0
83,,0,0,58,33,95,75,347,267,11,2,0,0,190,194,454,354,2437,,0,0,0,0,0,0,0,9.36,10.29,153.06,42.62,30.97,73.81,404,259,80596,199817,125,875,45658,35135,0,7924,11639,57216,16,0,0,3195,560,0,0,20,0,140,0,0.92,0,888,88.1,86.67,51.48,59.5,60,117.24,131.58,131.59,102.57,50,10.63,104111,87.49,0,87.08,68.46,91.32,93.69,0,7.81,11.47,0
84,,0,0,55,29,100,75,345,271,15,6,0,0,215,201,450,362,2482,,0,0,0,0,0,0,0,9.36,10.16,149.36,42.34,30.77,72.96,406,262,82156,207090,125,875,47628,36000,0,7376,11980,59250,20,0,0,4155,1696,0,0,20,0,140,0,0.92,0,896,88.79,87.59,51.72,60,60,121.47,138.05,132.84,107.23,50,10.56,108835,88.28,0,87.81,68.46,95.26,96,0,7.27,11.8,0
85,,0,0,45,22,100,75,355,278,21,6,0,0,222,213,470,376,2565,,81.25,0,236.36,0,0,0,0,9.36,9.97,144.09,41.84,30.68,72.41,423,267,84477,213210,125,875,49294,37065,0,5878,11973,60074,22,0,0,6000,1622,0,0,20,0,140,0,0.92,0,902,89.83,87.59,51.72,60,60,123.98,138.86,133.33,110.18,50,10.41,111832,88.87,0,87.73,68.42,98.59,98.84,0,5.79,11.8,0
86,,0,0,40,20,97,75,363,280,24,8,0,0,248,232,486,380,2646,,81.25,0,0,247.62,0,0,0,9.36,9.78,138.2,41.6,30.52,71.71,433,268,87097,216778,125,875,47782,37545,0,5287,11783,57911,17,0,0,6780,2212,0,0,20,0,140,0,0.92,0,907,90.34,88.05,51.58,59.7,60,122.81,131.63,134.09,109.74,50,10.13,111389,89.36,0,88.12,68.51,95.56,100.12,0,5.21,11.61,0
87,,0,0,40,16,100,75,360,284,31,11,0,0,241,221,480,388,2622,,0,0,0,0,0,0,0,9.36,9.79,138.1,41.31,30.36,71.29,434,262,86452,220960,125,875,49896,38115,0,4908,11980,60275,16,0,0,8760,3127,0,0,20,0,140,0,0.92,0,917,91.55,88.74,51.72,60,60,127.36,138.6,134.21,115.06,50,9.99,116786,90.34,0,87.64,68.46,99.79,101.64,0,4.84,11.8,0
88,,0,0,42,20,100,75,358,280,46,15,0,0,199,200,460,380,2398,,0,0,0,0,0,0,0,9.78,9.92,129.04,41.02,27.18,68.93,412,220,82324,217600,125,875,48272,37665,0,5422,11995,58790,13,0,0,11760,3878,0,0,20,0,140,0,1.03,0,936,94.14,89.66,51.72,60,60,127.13,134.84,134.52,117.23,49.05,9.17,118992,92.22,0,87.45,68.54,96.54,100.44,0,5.34,11.82,0
89,,0,0,46,22,100,75,354,278,67,21,0,0,180,170,458,376,2576,,0,0,0,0,0,0,0,9.78,10.62,147.08,40.67,30.8,69.22,412,282,82341,222115,125,875,47250,37530,0,5946,11973,58151,22,0,0,16290,5255,0,0,20,0,140,0,1.07,0,963,97.76,91.03,51.72,60,60,129.02,133.47,135,122.41,49.4,10.95,124244,94.88,0,87.44,68.42,94.5,100.08,0,5.86,11.8,0
90,,0,0,61,38,97,75,342,262,80,32,0,0,169,154,444,344,2507,,0,0,0,0,0,0,0,9.78,9.73,155.39,40.79,31.29,69.66,394,295,80009,225286,125,875,46634,35370,0,8616,11805,58590,22,0,0,20058,7728,0,0,20,0,140,0,1.07,0,987,100,93.56,51.58,59.7,60,131.93,136.36,135,128.29,50,11.77,130211,97.24,0,87.03,68.63,93.27,94.32,0,8.49,11.63,0
91,,0,0,78,53,93,75,329,247,80,38,0,0,135,144,418,314,2346,,81.25,0,236.36,0,0,0,0,9.78,9.87,160.26,41.08,30.9,70.56,366,280,75754,218829,125,875,43988,33345,0,11393,11510,57228,11,0,0,19688,9011,0,0,20,0,140,0,1.07,0,993,100,94.94,51.38,59.3,60,129.84,133.7,135,127.03,50,11.94,128935,97.83,0,86.97,68.51,87.98,88.92,0,11.22,11.34,0
92,,0,0,62,23,85,72,171,143,80,43,0,0,98,91,328,265,1734,,87.39,0,0,247.62,0,0,0,9.88,5.76,145.23,41.03,28.35,71.34,330,216,58988,157375,125,556,22358,19305,0,7491,10781,33585,11,0,0,18725,10112,0,0,20,0,140,0,1.17,0,679,68.62,64.6,35.12,40.3,41.33,130.74,130.75,135,87.46,55.65,12.46,88772,66.9,0,88.13,68.67,44.72,51.48,0,7.38,10.62,0
93,,0,0,115,54,100,75,285,246,80,49,0,0,74,75,330,312,1971,,0,0,0,0,0,0,0,9.88,10.3,189.96,41.36,31.28,73.82,321,223,66474,206717,125,875,38808,33210,0,16023,11980,56585,20,0,0,19492,11062,0,0,20,0,140,0,1.21,0,1004,100,97.47,51.72,60,60,130.05,136.17,135,128.65,50,11.31,130575,98.92,0,94.81,68.46,77.62,88.56,0,15.79,11.8,0
94,,0,0,110,68,51,75,339,232,80,49,0,0,64,60,413,284,2052,,0,0,0,0,0,0,0,9.88,10.59,196.13,41.17,32.5,75.32,336,232,67480,209251,125,875,46018,31320,0,16764,8643,59948,15,0,0,18971,10986,0,0,20,0,140,0,1.21,0,1004,100,97.47,49.31,55.1,60,132.17,135.75,135,130.74,48.21,11.31,132702,98.92,0,94.18,68.6,92.04,83.52,0,16.52,8.52,0
95,,0,0,118,78,42,75,340,222,80,48,0,0,65,61,428,264,2059,,152.94,866.67,0,0,0,0,2600,9.88,9.97,196.99,41.73,32.34,75.8,340,245,68061,207886,125,875,44142,29970,0,18646,8014,58526,16,0,0,18652,10735,0,0,20,0,140,0,1.21,0,1003,100,97.24,48.87,54.2,60,129.77,129.83,135,128.24,49.13,11.9,130159,98.82,0,95.13,68.5,88.28,79.92,0,18.37,7.9,0
96,,0,0,162,80,39,52,299,213,80,36,0,0,27,23,351,306,1849,,0,0,0,0,0,0,0,9.88,11.2,205.25,42.18,32.11,78.7,325,201,63235,195585,125,875,41006,28728,0,23553,6254,59631,19,0,0,17840,7891,0,0,20,0,140,0,1.21,0,961,100,87.59,46.11,53.9,52.93,130.36,137.14,134.87,123.42,49.47,10.87,125272,94.68,0,97.33,68.73,82.01,76.61,0,23.2,6.16,0
97,,0,0,175,82,21,25,304,186,80,39,0,0,0,0,336,273,1667,,152.94,0,236.36,0,577.78,0,0,9.88,11,211.3,42.38,31.79,78.79,289,175,56743,184912,125,875,42495,25582,0,25174,3146,61372,11,0,0,17665,8786,0,0,20,0,140,0,1.21,0,912,100,76.32,41.33,52.1,42.4,134.7,139.79,137.54,121.03,47.45,10.5,122848,89.85,0,97.95,68.39,84.99,68.22,0,24.8,3.1,0
98,,0,0,165,86,16,22,319,184,80,32,0,0,22,21,350,269,1725,,76.47,0,0,216.67,0,0,0,9.88,11.68,209.68,42.64,31.73,80.02,287,171,58801,184674,125,875,41727,24813,0,24650,2600,59362,19,0,0,18217,6993,0,0,20,0,140,0,1.21,0,904,100,74.48,40.89,51.6,41.87,131.64,130.81,134.85,117.24,46.37,9.91,119000,89.06,0,98.21,68.42,83.45,66.17,0,24.29,2.56,0
99,,0,0,172,82,23,24,305,172,80,38,0,0,0,0,339,264,1640,,0,0,0,0,0,0,0,9.88,11.09,215.57,42.64,31.62,81.13,292,172,56170,180204,125,875,40908,23193,0,25079,3251,59676,10,0,0,18040,8390,0,0,20,0,140,0,1.21,0,896,100,72.64,40.64,52.3,40.27,132.66,134.12,134.84,117.1,48.42,10.49,118861,88.28,0,98.74,69.17,81.82,61.85,0,24.71,3.2,0
100,,0,0,164,85,22,22,314,176,80,35,0,0,20,18,351,268,1711,,0,0,0,0,0,0,0,9.88,11.39,210.3,42.81,31.55,80.2,298,173,58680,184939,125,875,42791,23733,0,24585,3025,60769,24,0,0,17589,7777,0,0,20,0,140,0,1.21,0,898,100,73.1,40.74,52.2,40.67,133.07,136.28,134.85,117.73,48.14,10.11,119500,88.47,0,98.73,68.75,85.58,63.29,0,24.22,2.98,0
101,,0,0,143,70,29,31,328,176,80,28,0,0,0,11,351,249,1627,,0,0,0,0,0,0,0,9.83,12.01,198.04,42.19,31.66,77.27,272,167,56591,180517,125,875,44956,24049,0,21107,4131,61346,14,0,0,18482,6310,0,0,20,0,140,0,1.21,0,885,100,70.11,41.23,52.9,41.07,134.5,137.06,136.64,117.28,45.33,10.26,119035,87.19,0,99.09,68.85,89.91,64.13,0,20.8,4.07,0
102,,0,0,95,48,35,46,370,156,80,24,0,0,22,0,371,214,1556,,0,0,0,0,0,0,0,9.83,13.3,188.59,41.3,31.83,75.79,230,140,53262,174248,125,875,51698,21484,0,14216,5565,63620,16,0,0,18291,5373,0,0,20,0,140,0,1.21,0,854,100,62.99,40.94,53.5,39.47,136.57,139.72,137.72,114.9,39.32,9,116627,84.14,0,99.41,68.7,103.4,57.29,0,14.01,5.48,0
103,,0,0,39,17,100,75,361,211,80,25,0,0,44,59,423,309,1962,,0,0,0,0,0,0,0,9.83,11.28,163.02,40.75,32.43,70.44,346,208,66699,194989,125,875,50656,29187,0,5565,12002,61363,13,0,0,18492,5726,0,0,20,0,140,0,1.21,0,908,100,75.4,48.18,60,50.4,133.95,140.32,138.33,119.83,47.27,10.6,121628,89.46,0,99.38,68.58,101.31,77.83,0,5.48,11.82,0
104,,0,0,18,10,100,75,358,166,69,20,0,0,28,25,430,266,1766,,144.44,0,226.09,208,0,0,0,9.83,12.63,158,40.15,32.53,69.47,319,190,59900,173574,125,875,50834,23608,0,2766,11995,59440,17,0,0,16058,4601,0,0,20,0,140,0,1.21,0,816,93.97,62.3,44.43,57.6,43.47,134.63,141.99,142.22,108.24,45.83,10.76,109862,80.39,0,98.79,68.54,101.67,62.95,0,2.73,11.82,0
