staff_turnover,staff_satisfaction
48.15,83
38.52,84
46.43,81
0,92
59.09,83
32.5,86
31.71,87
20.39,89
50.98,88
50.98,89
40.78,85
25.49,90
50.98,89
0,94
50.98,89
50.98,88
40.78,84
21.31,89
60.94,84
32.5,88
20.31,90
60.08,85
45.88,84
36.11,88
